dataset,condition,task,feature_world,repeat_id,ktsp_model,classic_model,metric,delta,is_example
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,6,kTSP_example,classic_example,macro_f1,0.035,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,6,kTSP_example,classic_example,macro_f1,0.005,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,6,kTSP_example,classic_example,macro_f1,-0.035,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,6,kTSP_example,classic_example,macro_f1,-0.035,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,7,kTSP_example,classic_example,macro_f1,0.04,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,7,kTSP_example,classic_example,macro_f1,0.01,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,7,kTSP_example,classic_example,macro_f1,-0.03,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,7,kTSP_example,classic_example,macro_f1,-0.03,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,8,kTSP_example,classic_example,macro_f1,0.045,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,8,kTSP_example,classic_example,macro_f1,0.015,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,8,kTSP_example,classic_example,macro_f1,-0.025,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,8,kTSP_example,classic_example,macro_f1,-0.025,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,9,kTSP_example,classic_example,macro_f1,0.05,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,9,kTSP_example,classic_example,macro_f1,0.02,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,9,kTSP_example,classic_example,macro_f1,-0.02,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,9,kTSP_example,classic_example,macro_f1,-0.02,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,10,kTSP_example,classic_example,macro_f1,0.03,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,10,kTSP_example,classic_example,macro_f1,0.0,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,10,kTSP_example,classic_example,macro_f1,-0.04,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,10,kTSP_example,classic_example,macro_f1,-0.04,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,11,kTSP_example,classic_example,macro_f1,0.035,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,11,kTSP_example,classic_example,macro_f1,0.005,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,11,kTSP_example,classic_example,macro_f1,-0.035,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,11,kTSP_example,classic_example,macro_f1,-0.035,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,12,kTSP_example,classic_example,macro_f1,0.04,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,12,kTSP_example,classic_example,macro_f1,0.01,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,12,kTSP_example,classic_example,macro_f1,-0.03,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,12,kTSP_example,classic_example,macro_f1,-0.03,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,13,kTSP_example,classic_example,macro_f1,0.045,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,13,kTSP_example,classic_example,macro_f1,0.015,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,13,kTSP_example,classic_example,macro_f1,-0.025,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,13,kTSP_example,classic_example,macro_f1,-0.025,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,14,kTSP_example,classic_example,macro_f1,0.05,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,14,kTSP_example,classic_example,macro_f1,0.02,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,14,kTSP_example,classic_example,macro_f1,-0.02,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,14,kTSP_example,classic_example,macro_f1,-0.02,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,15,kTSP_example,classic_example,macro_f1,0.03,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,15,kTSP_example,classic_example,macro_f1,0.0,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,15,kTSP_example,classic_example,macro_f1,-0.04,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,15,kTSP_example,classic_example,macro_f1,-0.04,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,16,kTSP_example,classic_example,macro_f1,0.035,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,16,kTSP_example,classic_example,macro_f1,0.005,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,16,kTSP_example,classic_example,macro_f1,-0.035,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,16,kTSP_example,classic_example,macro_f1,-0.035,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,17,kTSP_example,classic_example,macro_f1,0.04,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,17,kTSP_example,classic_example,macro_f1,0.01,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,17,kTSP_example,classic_example,macro_f1,-0.03,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,17,kTSP_example,classic_example,macro_f1,-0.03,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,18,kTSP_example,classic_example,macro_f1,0.045,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,18,kTSP_example,classic_example,macro_f1,0.015,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,18,kTSP_example,classic_example,macro_f1,-0.025,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,18,kTSP_example,classic_example,macro_f1,-0.025,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,19,kTSP_example,classic_example,macro_f1,0.05,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,19,kTSP_example,classic_example,macro_f1,0.02,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,19,kTSP_example,classic_example,macro_f1,-0.02,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,19,kTSP_example,classic_example,macro_f1,-0.02,True
ds004504_example,EC,AD_vs_CN,REGION_AGGREGATES_ALL,20,kTSP_example,classic_example,macro_f1,0.03,True
ds004504_example,EC,AD_FTD_vs_CN,REGION_AGGREGATES_ALL,20,kTSP_example,classic_example,macro_f1,0.0,True
ds004504_example,EC,CN_vs_FTD,REGION_AGGREGATES_ALL,20,kTSP_example,classic_example,macro_f1,-0.04,True
ds004504_example,EC,AD_vs_FTD,REGION_AGGREGATES_ALL,20,kTSP_example,classic_example,macro_f1,-0.04,True
